episode	max-area
0	0.398801
1	0.398801
2	0.40456
3	0.410204
4	0.415735
5	0.421155
6	0.426467
7	0.431673
8	0.436775
9	0.441774
10	0.446674
11	0.451475
12	0.454137
13	0.456745
14	0.459302
15	0.461807
16	0.465594
17	0.469305
18	0.474247
19	0.47909
20	0.483836
21	0.488488
22	0.493046
23	0.497514
24	0.501891
25	0.506182
26	0.510386
27	0.514507
28	0.517115
29	0.51967
30	0.522175
31	0.524561
32	0.52516
33	0.525748
34	0.526323
35	0.526887
36	0.52744
37	0.527981
38	0.528512
39	0.529032
40	0.52907
41	0.529108
42	0.529145
43	0.529181
44	0.529216
45	0.528736
46	0.528267
47	0.527806
48	0.527355
49	0.52704
50	0.526732
51	0.526429
52	0.526133
53	0.525843
54	0.525885
55	0.525926
56	0.525966
57	0.526005
58	0.526044
59	0.526082
60	0.526119
61	0.526155
62	0.526191
63	0.526226
64	0.525806
65	0.525395
66	0.524992
67	0.524597
68	0.52421
69	0.52383
70	0.523459
71	0.523094
72	0.522737
73	0.522387
74	0.522044
75	0.521708
76	0.521379
77	0.521056
78	0.52074
79	0.52043
80	0.520126
81	0.519828
82	0.519537
83	0.519251
84	0.518971
85	0.518696
86	0.518427
87	0.518163
88	0.517905
89	0.517652
90	0.517403
91	0.51716
92	0.516922
93	0.516688
94	0.516459
95	0.516235
96	0.516015
97	0.515799
98	0.515588
99	0.515381
100	0.515179
101	0.51498
102	0.514785
103	0.514594
104	0.514407
105	0.514224
106	0.514044
107	0.513868
108	0.513696
109	0.513527
110	0.513361
111	0.513198
112	0.513039
113	0.512883
114	0.51273
115	0.512581
116	0.512434
117	0.51229
118	0.512149
119	0.512011
120	0.511876
121	0.511743
122	0.511613
123	0.511485
124	0.511361
125	0.511238
126	0.511118
127	0.511001
128	0.510886
129	0.510773
130	0.510662
131	0.510554
132	0.510447
133	0.510343
134	0.510241
135	0.510141
136	0.510043
137	0.509947
138	0.509853
139	0.509761
140	0.50967
141	0.509582
142	0.509495
143	0.50941
144	0.509327
145	0.509245
146	0.509165
147	0.509086
148	0.509009
149	0.508934
150	0.50886
151	0.508788
152	0.508717
153	0.508647
154	0.508579
155	0.508513
156	0.508447
157	0.508383
158	0.50832
159	0.508259
160	0.508198
161	0.508139
162	0.508081
163	0.508024
164	0.507969
165	0.507914
166	0.507861
167	0.507808
168	0.507757
169	0.507707
170	0.507657
171	0.507609
172	0.507562
173	0.507515
174	0.50747
175	0.507425
176	0.507382
177	0.507339
178	0.507297
179	0.507256
180	0.507215
181	0.507176
182	0.507137
183	0.507099
184	0.507062
185	0.507026
186	0.50699
187	0.506955
188	0.506921
189	0.506887
190	0.506854
191	0.506822
192	0.50679
193	0.50676
194	0.506729
195	0.506699
196	0.50667
197	0.506642
198	0.506614
199	0.506586
200	0.506559
201	0.506533
202	0.506507
203	0.506482
204	0.506457
205	0.506433
206	0.506409
207	0.506386
208	0.506363
209	0.50634
210	0.506318
211	0.506297
212	0.506276
213	0.506255
214	0.506235
215	0.506215
216	0.506195
217	0.506176
218	0.506158
219	0.506139
220	0.506121
221	0.506104
222	0.506086
223	0.50607
224	0.506053
225	0.506037
226	0.506021
227	0.506005
228	0.50599
229	0.505975
230	0.50596
231	0.505946
232	0.505932
233	0.505918
234	0.505905
235	0.505891
236	0.505878
237	0.505866
238	0.505853
239	0.505841
240	0.505829
241	0.505817
242	0.505806
243	0.505794
244	0.505783
245	0.505772
246	0.505762
247	0.505751
248	0.505741
249	0.505731
250	0.505721
251	0.505712
252	0.505702
253	0.505693
254	0.505684
255	0.505675
256	0.505667
257	0.505658
258	0.50565
259	0.505642
260	0.505634
261	0.505626
262	0.505618
263	0.505611
264	0.505603
265	0.505596
266	0.505589
267	0.505582
268	0.505575
269	0.505568
270	0.505562
